echantillon;groupe;total;0;20;24;45;49;68;92;168
DNP-1;NP;27;0;0;0;2;5;17;22;24
DNP-2;NP;24;0;0;0;4;6;16;21;24
DNP-3;NP;31;0;0;0;5;10;24;25;28
DNP-4;NP;22;0;0;0;1;1;6;16;21
DHP-1;HP;24;0;0;0;5;10;18;22;24
DHP-2;HP;25;0;0;0;4;8;20;23;23
DHP-3;HP;28;0;0;0;9;12;26;27;28
DHP-4;HP;22;0;0;1;4;5;15;17;20
DV1-1;V1;33;0;0;0;11;14;25;31;31
DV1-2;V1;31;0;0;0;19;22;30;31;31
DV1-3;V1;32;0;0;0;21;25;28;30;31
DV1-4;V1;27;0;0;0;13;16;22;24;26
DV2-1;V2;41;0;0;0;20;24;37;40;41
DV2-2;V2;38;0;0;1;27;29;36;37;37
DV2-3;V2;30;0;0;0;17;20;25;25;27
DV2-4;V2;43;0;0;0;29;33;39;43;43
DV3-1;V3;38;0;0;0;24;24;36;37;37
DV3-2;V3;33;0;0;0;19;22;30;31;32
DV3-3;V3;33;0;0;0;13;17;29;33;33
DV3-4;V3;32;0;0;0;24;26;32;32;32
DV4-1;V4;28;0;0;2;26;26;27;28;28
DV4-2;V4;30;0;0;3;26;28;30;30;30
DV4-3;V4;33;0;0;0;23;27;31;32;33
DV4-4;V4;27;0;1;1;20;22;26;27;27
